position,player,country,points,birthdate,age,place_of_birth,height_m,playing_side,profile_url
208,Francisco Jurado Sosa,UAE,230,10/12/1996,29,El Coronil,1.84,Left,https://www.padelfip.com/es/player/francisco-jurado-sosa/
209,Aaron Garcia Rubio,ESP,229,01/04/2009,17,Murcia,1.7,,https://www.padelfip.com/es/player/aaron-garcia-rubio/
210,Cristian German Gutierrez,ARG,228,15/12/1990,35,San Luis,1.7,Right,https://www.padelfip.com/es/player/cristian-german-gutierrez/
211,Daniel Appelgren,SWE,225,06/05/1996,30,Boras,1.77,Right,https://www.padelfip.com/es/player/daniel-appelgren/
211,Joaquin De Astoreca,ARG,225,04/06/2003,23,Tandil,1.75,Left,https://www.padelfip.com/es/player/joaquin-de-astoreca/
213,Adrian Rodriguez rodriguez-Manzaneque,ESP,224,13/03/2003,23,Valencia,1.82,Left,https://www.padelfip.com/es/player/adrian-rodriguez-rodriguez-manzaneque/
214,Menno Nolten,NED,222,14/11/2000,25,Oudkarspel,1.95,Left,https://www.padelfip.com/es/player/menno-nolten/
215,Jairo Guerrero Escarcena,ESP,221,21/07/2007,18,Marbella,1.67,Right,https://www.padelfip.com/es/player/jairo-guerrero-escarcena/
216,Sergio Nieto Simon,ESP,220,11/01/2004,22,Madrid,1.78,Left,https://www.padelfip.com/es/player/sergio-nieto-simon/
217,Manuel Gayone,ARG,219,11/05/2003,23,Mar del Plata,1.8,Left,https://www.padelfip.com/es/player/manuel-gayone/
218,Afonso Fazendeiro,POR,214,18/07/1998,27,Lisboa,1.81,Left,https://www.padelfip.com/es/player/afonso-fazendeiro/
219,Maxime Joris,FRA,212,26/03/2001,25,Bordeaux,,Right,https://www.padelfip.com/es/player/maxime-joris/
220,Manuel Vives,FRA,210,02/10/1999,26,París,1.75,Left,https://www.padelfip.com/es/player/manuel-vives/
221,Daniel Windahl,SWE,207,20/07/1996,29,Helsingborg,1.9,Left,https://www.padelfip.com/es/player/daniel-windahl/
221,Juan Manuel Lasgoity,ITA,207,17/04/1999,27,Buenos aires,1.9,,https://www.padelfip.com/es/player/juan-manuel-lasgoity/
223,Antonio Varo Ramos,ESP,206,23/05/2003,23,Marbella,1.8,Left,https://www.padelfip.com/es/player/antonio-varo-ramos/
224,Octavio Alvarez,ARG,201,06/05/2004,22,Pergamino,1.75,Right,https://www.padelfip.com/es/player/octavio-alvarez/
224,Santino Contreras,ARG,201,09/05/2010,16,,,,https://www.padelfip.com/es/player/santino-contreras/
226,Jeremy Robert,FRA,195,19/04/2008,18,,,,https://www.padelfip.com/es/player/jeremy-robert/
227,Matteo Rosingana,ITA,194,07/02/2000,26,,,,https://www.padelfip.com/es/player/matteo-rosingana/
228,Henrique Barbosa,POR,193,09/09/2000,25,Aveiro,1.74,Right,https://www.padelfip.com/es/player/henrique-barbosa/
229,Alejandro Garcia Calahorro,ESP,189,18/12/2008,17,,,,https://www.padelfip.com/es/player/alejandro-garcia-calahorro/
229,Bohou Zhang,CHN,189,16/01/1997,29,Beijing,,Left,https://www.padelfip.com/es/player/bohou-zhang/
231,Jose Roman Martinez Sanchis,ESP,187,05/06/2003,23,Almansa,1.82,Left,https://www.padelfip.com/es/player/jose-roman-martinez-sanchis/
231,Noa Bonnefoy,ITA,187,20/12/2005,20,Lodi,,Right,https://www.padelfip.com/es/player/noa-bonnefoy/
233,Wagdy Raslan,EGY,186,12/01/2007,19,Alexandria,,Right,https://www.padelfip.com/es/player/wagdy-raslan/
234,Sergi Guimet Bigas,ESP,185,02/07/1998,27,Granollers,1.84,Left,https://www.padelfip.com/es/player/sergi-guimet-bigas/
235,Oscar Matias Almada,ARG,184,02/03/1994,32,Santiago del Estero,1.9,Right,https://www.padelfip.com/es/player/oscar-matias-almada/
236,Pablo Castillo Valverde,ESP,182,06/11/1999,26,Melilla,1.75,Right,https://www.padelfip.com/es/player/pablo-castillo-valverde/
236,Matteo Sargolini,ITA,182,22/11/2007,18,Civitavecchia,,Left,https://www.padelfip.com/es/player/matteo-sargolini/
238,Arthur Hugounenq,FRA,181,08/06/2000,26,Nimes,1.8,Right,https://www.padelfip.com/es/player/arthur-hugounenq/
239,Thomas Vanbauce,FRA,180,08/12/1996,29,Maubeuge,1.87,Left,https://www.padelfip.com/es/player/thomas-vanbauce/
239,Santiago Rolla,ARG,180,13/06/2001,25,Junin,1.76,Right,https://www.padelfip.com/es/player/santiago-rolla/
241,Oscar Sebber Gormsen,DEN,177,19/04/2000,26,Copenhagen,1.86,Left,https://www.padelfip.com/es/player/oscar-sebber-gormsen/
242,Vasco Pascoal,POR,176,21/11/1988,37,Lisbon,1.82,Left,https://www.padelfip.com/es/player/vasco-pascoal/
242,Nicolas Rouanet,FRA,176,10/03/1996,30,La Teste de Buch,1.67,Right,https://www.padelfip.com/es/player/nicolas-rouanet/
244,Juan Cruz Forastello,ARG,175,14/02/2006,20,Villa Mercedes,1.84,Right,https://www.padelfip.com/es/player/juan-cruz-forastello/
245,Bentahor Espino Mustafa,ESP,173,18/12/2009,16,,,,https://www.padelfip.com/es/player/bentahor-espino-mustafa/
245,Benjamin Tison,FRA,173,02/02/1989,37,,,,https://www.padelfip.com/es/player/benjamin-tison/
247,Georges Wakim,EGY,172,14/11/1994,31,Riyadh,1.83,Right,https://www.padelfip.com/es/player/georges-wakim/
247,Jorrit Hazebroek,NED,172,02/06/2007,19,,,Left,https://www.padelfip.com/es/player/jorrit-hazebroek/
247,Vinny Nahuel Di Francesco,USA,172,23/12/2006,19,New York,1.88,Left,https://www.padelfip.com/es/player/vinny-nahuel-di-francesco/
247,Bart Van Opstal,NED,172,19/02/1995,31,Amsterdam,1.79,Right,https://www.padelfip.com/es/player/bart-van-opstal/
251,Federico Galli,ITA,169,23/12/1996,29,Cesena,,Right,https://www.padelfip.com/es/player/federico-galli/
252,Kevin Uriel Kviatkovski,ARG,167,11/01/2005,21,Chaco,1.78,Right,https://www.padelfip.com/es/player/kevin-uriel-kviatkovski/
253,Zé Alexandre Meireles,POR,165,30/11/1999,26,Guimaraes,1.85,Left,https://www.padelfip.com/es/player/ze-alexandre-meireles/
253,Adrian Molina Lopez,ESP,165,19/06/2007,19,,,,https://www.padelfip.com/es/player/adrian-molina-lopez/
253,Alejandro Guinaldo Martin,ESP,165,14/04/2002,24,,,,https://www.padelfip.com/es/player/alejandro-guinaldo-martin/
256,Facundo Dehnike,PAR,163,21/08/2008,17,Hohenau,1.64,Right,https://www.padelfip.com/es/player/facundo-dehnike/
256,Karlos Rodriguez Vidal,ESP,163,16/02/1995,31,Málaga,1.73,Right,https://www.padelfip.com/es/player/karlos-rodriguez-vidal/
258,Carlos Perez Cabeza,ESP,161,27/06/1996,29,Málaga,1.91,Right,https://www.padelfip.com/es/player/carlos-perez-cabeza/
259,Philemon Raichman,FRA,159,11/05/2000,26,París,1.85,Right,https://www.padelfip.com/es/player/philemon-raichman/
260,Mateo Conte Gonzalez,ARG,156,14/06/2006,20,Olavarría,1.77,Left,https://www.padelfip.com/es/player/mateo-conte-gonzalez/
261,Noe Sanchez Del Viejo,ESP,155,23/12/2006,19,Badajoz,1.8,Right,https://www.padelfip.com/es/player/noe-sanchez-del-viejo/
261,Jose Manuel Ortiz Llerena,ESP,155,06/01/2005,21,Mérida,1.8,Left,https://www.padelfip.com/es/player/jose-manuel-ortiz-llerena/
263,Candido Jorge Alfaro,ESP,154,22/04/1995,31,Las Palmas de Gran Canaria,1.85,Left,https://www.padelfip.com/es/player/candido-jorge-alfaro/
263,Michele Brambilla,ITA,154,26/06/2005,20,,,,https://www.padelfip.com/es/player/michele-brambilla/
265,Isaac Huysveld,BEL,153,14/02/2006,20,Veurne,1.86,Left,https://www.padelfip.com/es/player/isaac-huysveld/
266,Victor Ortega Garcia,ESP,151,17/04/2007,19,Valladolid,1.64,Right,https://www.padelfip.com/es/player/victor-ortega-garcia/
266,Thomas Panken,NED,151,11/01/2007,19,Delft,1.85,Right,https://www.padelfip.com/es/player/thomas-panken/
266,Max Bjorkman,SWE,151,15/01/2003,23,,,,https://www.padelfip.com/es/player/max-bjorkman/
269,Toni Bueno,ESP,149,23/08/1990,35,Barcelona,1.78,Right,https://www.padelfip.com/es/player/toni-bueno/
270,Eneko Arija Ochoa De Alda,ESP,147,23/01/2005,21,Vitoria Gasteiz,1.8,Right,https://www.padelfip.com/es/player/eneko-arija-ochoa-de-alda/
270,Ignacio Alonso Chillaron,ESP,147,17/05/2005,21,Valencia,1.82,Right,https://www.padelfip.com/es/player/ignacio-alonso-chillaron/
270,Olivier Guy De Chamisso,FRA,147,31/10/2008,17,,,,https://www.padelfip.com/es/player/olivier-guy-de-chamisso/
273,Nicolas Crosio,ARG,146,19/09/1995,30,Buenos aires,1.87,Left,https://www.padelfip.com/es/player/nicolas-crosio/
273,Juan Manuel Argañaras,ARG,146,20/07/1988,37,Santiago del Estero,1.75,Left,https://www.padelfip.com/es/player/juan-manuel-arganaras/
275,Kai Groen,NED,145,29/12/2005,20,The Hague,,Right,https://www.padelfip.com/es/player/kai-groen/
275,Andrea Mangiante,ITA,145,31/08/2007,18,,,Right,https://www.padelfip.com/es/player/andrea-mangiante/
277,Riccardo Sinicropi,ITA,143,12/09/1990,35,Genova,1.78,Right,https://www.padelfip.com/es/player/riccardo-sinicropi/
278,Gerard Arnaldos Serrano,ESP,140,31/12/1997,28,Barcelona,1.84,Right,https://www.padelfip.com/es/player/gerard-arnaldos-serrano/
279,Abraham Muñoz Zurita,ESP,139,04/04/2008,18,,,,https://www.padelfip.com/es/player/abraham-munoz-zurita/
280,Axel William Guevara,ARG,138,20/10/1996,29,General Pico,,Right,https://www.padelfip.com/es/player/axel-william-guevara/
281,Yanis Muesser,FRA,137,10/01/1999,27,,,,https://www.padelfip.com/es/player/yanis-muesser/
281,Louie Harris,GBR,137,03/06/2002,24,,,,https://www.padelfip.com/es/player/louie-harris/
281,Pier Giulio Farabbi,ITA,137,09/02/2005,21,Roma,1.9,Left,https://www.padelfip.com/es/player/pier-giulio-farabbi/
284,Matteo Platania,ITA,136,08/12/2006,19,Agrigento,,Left,https://www.padelfip.com/es/player/matteo-platania/
285,Alberto Gasca Romero,ESP,135,29/12/2000,25,Zaragoza,1.9,Left,https://www.padelfip.com/es/player/alberto-gasca-romero/
286,Alejandro Urzola Abad,ESP,134,08/10/1999,26,Zaragoza,1.71,Right,https://www.padelfip.com/es/player/alejandro-urzola-abad/
287,Jose Pablo Padilla,MEX,133,17/06/2005,21,Ciudad de Mexico,1.85,Left,https://www.padelfip.com/es/player/jose-pablo-padilla/
287,Noe Navarro Porras,ESP,133,15/06/2003,23,Terrassa,1.87,Left,https://www.padelfip.com/es/player/noe-navarro-porras/
287,Jose Pedro Montalban Martin,ESP,133,09/09/1999,26,Granada,1.75,Right,https://www.padelfip.com/es/player/jose-pedro-montalban-martin/
290,Nathan Courrin,FRA,132,11/11/2004,21,,,,https://www.padelfip.com/es/player/nathan-courrin/
290,Simone Vaccari,ITA,132,01/07/2002,23,Bologna,1.92,Left,https://www.padelfip.com/es/player/simone-vaccari/
290,Miguel Oliveira,POR,132,28/02/1988,38,Oeiras,1.78,Right,https://www.padelfip.com/es/player/miguel-oliveira/
293,Fabricio Parra Heck,ARG,131,18/09/2002,23,Juan José Castelli,1.81,Left,https://www.padelfip.com/es/player/fabricio-parra-heck/
294,Juan Jose Dominguez Cruz,ESP,130,03/04/2004,22,Málaga,1.8,Left,https://www.padelfip.com/es/player/juan-jose-dominguez-cruz/
295,Mattia Di Bari,ITA,129,07/02/2007,19,Ravenna,,,https://www.padelfip.com/es/player/mattia-di-bari/
295,Sergio Esteban Barroso,ESP,129,10/04/1996,30,Madrid,1.74,Left,https://www.padelfip.com/es/player/sergio-esteban-barroso/
297,Youssef Hossam,EGY,128,03/06/1998,28,Giza,1.78,Left,https://www.padelfip.com/es/player/youssef-hossam/
297,Naim Horacio Diaz,ARG,128,11/01/2008,18,La Rioja,1.68,,https://www.padelfip.com/es/player/naim-horacio-diaz/
299,Juan Ignacio Franco,ARG,126,24/05/2001,25,,,,https://www.padelfip.com/es/player/juan-ignacio-franco/
299,Antonio Palma,ITA,126,03/12/2007,18,Avezzano,,,https://www.padelfip.com/es/player/antonio-palma/
